== الردود ==
إي | نعم
إي والله | نعم بالتأكيد
أكيد | بالتأكيد
أكيد طبعاً | بالتأكيد
زين | جيد
تمام | حسناً
تمام التمام | جيد جداً
تمام إن شاء الله | جيد
أبشر | سيتم (تُستخدم في العراق أيضاً)
پشر / پشري | سيتم (عراقي أصيل)
على راسي | على عيني / بكل احترام
على العين والرأس | بكل احترام
حاضر | حاضر
حاضر من عيوني | بكل سرور
تم | تم التنفيذ
ماكو مشكلة | لا توجد مشكلة
ولا يهمك | لا مشكلة
بكل سرور | بفرح
صدك | حقاً؟
يزاك الله خير | جزاك الله خيراً
ماشي | حسناً / موافق
بالفرحة | بكل سرور
يحسبلك | يُحسب لك / أحسنت
عدل | صحيح / موافق
== الرفض ==
لا | لا
أبد | أبداً
مو ممكن | غير ممكن
ما يصير | لا يمكن
مو معقولة | غير معقول
مستحيل | مستحيل
مو هالشكل | ليس هكذا
بعدين | لاحقاً
خليني أفكر | دعني أفكر
مو هسه | ليس الآن
مو هالوقت | ليس الوقت المناسب
انسه | انسَ
ما أوافق | لا أوافق
مو شغلتي | ليست مسؤوليتي
ما راح أسوي | لن أفعل
ما يجي برأسي | لا أوافق / لا أريد
ما اكدر | لا أستطيع
== السؤال ==
شنو | ماذا
شنهي | ما هي / ماذا
شلون | كيف
ليش | لماذا
وين | أين
وينك | أين أنت
وينها | أين هي
وينهم | أين هم
يمته | متى
شوكت | متى (عراقي أكثر شيوعاً من يمته)
من شوكت | من متى / منذ متى
منو | من
شكد | كم
شقد | كم
شلون هيج | كيف هكذا
ليش هيج | لماذا هكذا
شنو السبب | ما السبب
ها شصار | ماذا حدث
شنو السالفة | ما القصة
شكو | ماذا يوجد
شعندك | ماذا لديك
شبيك | ما بك
شبيج | ما بكِ
بيش | بكم / ما السعر
مو كذا | أليس كذلك؟
ها | ماذا؟ / نعم؟
لو سمحت | من فضلك
== المدح ==
كفو | والنعم / جدير بها
عفية | أحسنت / بارك الله فيك
بطل | شجاع / ممتاز
خوش | جيد / ممتاز
فنان | مبدع
أسد | شجاع
ذهب | أصيل / معدنه طيب
راقي | محترم / مميز
مرتب | أنيق / منظم
عجيب | مدهش
حلو | جميل
يهبل | رائع جداً
يجنن | رائع جداً
نظيف | جيد / ذو نية حسنة
شاطر | ذكي / ماهر
نار | رائع / حماسي
خرافي | مذهل
أسطورة | شخص رائع
فشيخ | رائع جداً
يفوز | الأفضل
عاشت إيدك | سلمت يداك
الله عليك | ما شاء الله عليك
== الذم ==
بايخ | تافه / لا قيمة له
مو زين | سيء
خربوط | عشوائي / فوضوي
عاطل | معطل / سيء
غثيث | مزعج / ثقيل الدم
ثقيل | غير مرح / بطيء
فاشل | غير ناجح
كسول | خامل
ملل | ممل
غلطان | مخطئ
مو مضبوط | غير دقيق / غير موثوق
ما يسوى | لا يستحق
وايه | مبالغ فيه / زيادة عن اللزوم
مو كافي | غير كافٍ
خايس | فاسد / رديء الجودة
== التجارة والبيع ==
شكد السعر | كم الثمن؟
بيش | بكم؟
غالي | مرتفع الثمن
غالي هواي | غالٍ جداً
رخيص | منخفض الثمن
فلوس | نقود
صرف | تبديل عملة / إنفاق
الباقي | الباقي من المال
حساب | إجمالي المبلغ
فاتورة | قائمة الحساب
خصم | تخفيض في السعر
عرض | عرض ترويجي
نزل السعر | قم بتخفيض السعر
اشتري | شراء
بيع | بيع
دفع | تسديد المبلغ
استلام | أخذ أو استلام بضاعة
بالجملة | بالكميات الكبيرة
بالمفرد | قطعة قطعة
تقسيط | الدفع على أقساط
مقدم | دفعة أولى
قسط | دفعة شهرية
ضمان | كفالة المنتج
أصل | منتج أصلي
تقليد | منتج مقلّد
ماركة | علامة تجارية
زبون | عميل
معميل | زبون دائم
آخر سعر | السعر النهائي غير القابل للتفاوض
== عبارات شائعة ==
الله يساعدك | تحية للشخص العامل
الله يوفقك | دعاء بالتوفيق
الله يحفظك | دعاء بالسلامة
الله يستر | دعاء للحماية
الله كريم | الأمر لله
إن شاء الله | بمشيئة الله
الحمد لله | شكر لله
ما عليه | لا بأس
لا يهمك | لا تقلق
بالتوفيق | تمنيات بالنجاح
تسلم | سلمت من كل شر
تعيش | طال عمرك
يدوم عزك | دعاء بدوام الكرامة
ربي يحفظك | دعاء بالحفظ
الله يخليك | أبقاك الله
يطول عمرك | للشكر / الدعاء
الله يرحمه | رحمة الله على المتوفى
البقية بحياتك | تعزية في الوفاة
الله يعافيك | دعاء بالعافية
ما قصرت | لم تقصّر / شكراً
== التقنية ==
موبايل | هاتف محمول
لابتوب | حاسوب محمول
إنترنت | إنترنت
واي فاي | شبكة لاسلكية
چارجر | شاحن
باور بنك | بطارية احتياطية
تطبيق | تطبيق هاتف
سوشال ميديا | وسائل التواصل الاجتماعي
يوتيوب | يوتيوب
تيك توك | تيك توك
واتساب | واتساب
شاشة | شاشة
باطري | بطارية
نت | إنترنت
هانغ | تعليق الجهاز / توقف
سرفر | خادم شبكي
كاميرا | كاميرا
ميگا | ميجابايت
گيگا | جيجابايت
== الكميات والأوصاف ==
گطعة | قطعة / وحدة (عراقي)
نص | نصف
ربع | ربع
كيلو | كيلوغرام
لتر | لتر
طبق | طبق
قطعة | قطعة
كرتون | كرتون / صندوق
جملة | بالجملة / كميات
وحدة | قطعة واحدة
زوج | زوجان
كبير | كبير
صغير | صغير
طويل | طويل
قصير | قصير
خفيف | خفيف
واسع | فسيح
ضيق | ضيق
== الأرقام والمال ==
ألف | 1000
عشرة آلاف | 10,000
مية ألف | 100,000
مليون | 1,000,000
دينار | العملة العراقية
دولار | الدولار الأمريكي
مبلغ | مبلغ من المال
كاش | نقداً
بطاقة | بطاقة مصرفية
تحويل | تحويل بنكي
ديون | ديون
ادخار | مدخرات
ربح | أرباح
خسارة | خسارة
== الألوان ==
أحمر | أحمر
أزرق | أزرق
أخضر | أخضر
أصفر | أصفر
أبيض | أبيض
أسود | أسود
بني | بني
رمادي | رمادي
بيج | بيج / كريمي
كحلي | أزرق داكن
خمري | أحمر داكن
زيتي | أخضر داكن
فضي | فضي
ذهبي | ذهبي
وردي | وردي
== الملابس ==
دشداشة | ثوب رجالي عراقي
عباية | رداء نسائي
بنطلون | بنطلون
قميص | قميص
تيشرت | قميص كاجوال
فستان | فستان
كنزة | كنزة / سويتر
جاكيت | جاكيت
شماغ | غطاء الرأس العراقي
عقال | عقال الرأس
حذاء | حذاء
صرمايه | حذاء (عراقي)
شبشب | شبشب / نعل
جورب | جوارب
حقيبة | حقيبة
منديل | منديل / وشاح
== الأكلات الشعبية العراقية ==
مسگوف | سمك مشوي على نار حطب - أشهر أكلة عراقية
كليچة | بسكويت عراقي محشو بالتمر أو الجوز
تمن وقيمة | أرز مع يخنة اللحم
مرگوگ | يخنة عراقية بالخضار والعجين
عرق سوس | مشروب عراقي من جذور العرقسوس
فتوت | خبز بالسمن والسكر - وجبة الصبح
رجلة | سلطة البقلة العراقية
مطبگ | عجين محشو باللحم والبصل
سمبوسك | فطائر محشوة مقلية
عنبة | مخلل المانجو العراقي
أم علي | حلوى عراقية بالخبز والقشطة
زلابية | حلوى مقلية بالقطر
خبز التنور | خبز عراقي أصيل من تنور حطب
تمر | تمر عراقي أصيل
حلاوة الجبن | حلوى الجبن العراقية
شوربة عدس | شوربة العدس العراقية
تكة | شيش طاووق وكباب مشوي
== تعابير الرفض والقبول العراقية ==
لا بس | لا، ليس فقط - تصحيح
مو هيچ | ليس كذلك
خوش فكرة | فكرة ممتازة
على العين والراس | قبول بكل سرور
هاي زين | أهلاً / تحية شبابية
ماشي الحال | الأمور تسير بشكل مقبول
بالخير | بشكل جيد / لا بأس
سيان | لا فرق / سواء
على كيفك | كما تريد
وگتها وگتها | كل شيء في وقته
== أوصاف الأشياء والمنتجات ==
خوش شي | شيء ممتاز
مال أول | درجة أولى / ممتاز
ماكو مثيله | لا مثيل له
واجد | كثير (بصراوية)
ذاك اليوم | من زمان / قبل فترة
حديث | جديد / حديث الصنع
أصيل | أصلي / غير مقلد
بحالته | كما هو / بحالته الأصلية
مضروب | تالف / معطوب
يمشي | يعمل / يشتغل (عن الجهاز)
ما يمشي | لا يعمل / عطلان
== مفردات السوق والتسوق ==
السوم | السعر / التسعير
بقشيش | إكرامية / بخشيش
بلاش | مجاناً / بدون مقابل
براحة | بهدوء / على راحتك
مساوم | يساوم على السعر
نازل | خصم / نزل السعر
بوري | أنبوب / ماسورة
الدلة | إبريق القهوة العربي العراقي
بنكة | مروحة (كهربائية)
== خضروات وأطعمة بالعامية العراقية ==
بندورة | طماطم
بنجر | شمندر
بزاليا | بازلاء
لوبيا | فاصولياء
باذنجان | باذنجان
خيار | خيار
برغل | حبوب البرغل
ترمس | ترمس (بقلة صفراء)
بطيخ | بطيخ / دلاع
تمر هندي | عصير التمر الهندي الحامض
